question_id,document_name,question,expected_answer_keywords,expected_source_hint,difficulty,question_type
RECEIPTS-07,receipts_ocr_extraction.pdf,How is LayoutLMv3 fine-tuned for receipt information extraction?,token classification;linear classification layer;cross-entropy loss;AdamW;10 epochs,Fine-tuning section explains token classification and training setup,hard,summary
RECEIPTS-08,receipts_ocr_extraction.pdf,What stages make up the information extraction pipeline?,PaddleX OCR;Tesseract OCR;post-processing;entity aggregation,Pipeline section lists normalization with PaddleX text extraction with Tesseract and post-processing,medium,factual
RECEIPTS-09,receipts_ocr_extraction.pdf,How does LayoutLMv3 perform compared with LayoutLM in the evaluation?,0.90;0.91;0.97;LayoutLM;0.67;0.52,Performance table compares LayoutLMv3 and LayoutLM metrics,hard,comparison
RECEIPTS-10,receipts_ocr_extraction.pdf,What limitations and future improvements are identified for the receipt OCR system?,OCR errors;low-quality receipt images;noise reduction;contrast enhancement;image alignment,Conclusion mentions OCR errors and future image preprocessing improvements,hard,summary
LABWORK-01,Labwork1_Machine_Learning_and_Data_Mining_2.pdf,What is the title of the labwork report and who are the members?,Machine Learning Data Mining II;LabWork I;Nguyen Quang Dao;Pham Phuong Thao,Title page lists course labwork and members,easy,factual
LABWORK-02,Labwork1_Machine_Learning_and_Data_Mining_2.pdf,What features are present in the Customers dataset?,CustomerID;Gender;Age;Annual Income;Spending Score;Profession;Work Experience;Family Size,Raw dataset table lists customer dataset columns,easy,factual
LABWORK-03,Labwork1_Machine_Learning_and_Data_Mining_2.pdf,How is data quality handled for the Customers dataset?,2000 observations;no duplicated rows;35 missing values;Profession;Unknown,Data quality section says missing Profession values are replaced with Unknown,medium,factual
LABWORK-04,Labwork1_Machine_Learning_and_Data_Mining_2.pdf,What are the mean values reported for key numerical customer features?,Age;48.96;Annual Income;110731.8;Spending Score;50.96,Table 1.2 reports means for numerical features,medium,factual
LABWORK-05,Labwork1_Machine_Learning_and_Data_Mining_2.pdf,What does the correlation analysis conclude for the Customers dataset?,absolute values lower than 0.1;weak linear relationship;largely independent;no strong linear correlations,Correlation matrix explanation says customer numerical features are largely independent,medium,summary
LABWORK-06,Labwork1_Machine_Learning_and_Data_Mining_2.pdf,Which categorical modes are reported for the Customers dataset?,Gender;Female;Profession;Artist,Mode section reports Female and Artist,medium,factual
LABWORK-07,Labwork1_Machine_Learning_and_Data_Mining_2.pdf,What features and label are used in the Gender Classification dataset?,long hair;forehead width cm;forehead height cm;nose wide;nose long;lips thin;distance nose to lip long;gender,Raw dataset and feature analysis list gender classification columns,easy,factual
LABWORK-08,Labwork1_Machine_Learning_and_Data_Mining_2.pdf,How is data quality handled for the Gender Classification dataset?,no missing values;1768 duplicated rows;remove duplicates;3233,Data quality section removes duplicates and leaves 3233 unique rows,medium,factual
LABWORK-09,Labwork1_Machine_Learning_and_Data_Mining_2.pdf,Which features correlate most strongly with the encoded gender label?,nose wide;0.662;distance nose to lip long;0.647;nose long;0.638;lips thin;0.631,Correlation table with gender label lists strongest correlations,hard,factual
LABWORK-10,Labwork1_Machine_Learning_and_Data_Mining_2.pdf,How many principal components are selected for each dataset and why?,Dataset 1;4 principal components;83%;Dataset 2;5 PCs;82.66%;80%,PCA section selects PCs retaining at least 80 percent variance,medium,summary
